1, 0.02 ," 50,000 ",2,,,
2,0.04," 25,000 ",2.2,,,
3,0.08," 12,500 ",2.4,,,
4,0.13," 7,692 ",2.6,,,
5,0.18," 5,556 ",2.9,,,
6,0.24," 4,167 ",3.2,,,
7,0.3," 3,333 ",3.5,,,
8,0.37," 2,703 ",3.9,,,
9,0.44," 2,273 ",4.3,,,
10,0.52," 1,923 ",4.7,,,
11,0.6," 1,667 ",5.2,,,
12,0.69," 1,449 ",5.7,,,
13,0.79," 1,266 ",6.2,,,
14,0.9," 1,111 ",6.7,,,
15,1.02, 980 ,7.3,,,
16,1.14, 877 ,7.9,,,
17,1.27, 787 ,8.6,,,
18,1.41, 709 ,9.3,,,
19,1.56, 641 ,10,,,
20,1.72, 581 ,10.7,,,
21,1.89, 529 ,11.5,,,
22,2.08, 481 ,12.3,1.5,0.18,120
23,2.28, 439 ,13.1,1.5,0.20,120
24,2.48, 403 ,13.9,1.5,0.21,120
25,2.69, 372 ,14.7,2,0.29,120
26,2.9, 345 ,15.5,2,0.31,120
27,3.12, 321 ,16.3,2,0.33,120
28,3.35, 299 ,17.1,2,0.34,120
29,3.58, 279 ,17.9,2,0.36,120
30,3.81, 262 ,18.7,2,0.37,120
31,4.05, 247 ,19.6,2,0.39,120
32,4.3, 233 ,20.4,2.5,0.51,90
33,4.55, 220 ,21.2,2.5,0.53,90
34,4.8, 208 ,22,2.5,0.55,90
35,5.06, 198 ,22.8,2.5,0.57,90
36,5.32, 188 ,23.3,2.5,0.58,90
37,5.58, 179 ,23.9,2.5,0.60,90
38,5.84, 171 ,24.5,2.5,0.61,90
39,6.11, 164 ,25.1,2.5,0.63,90
40,6.38, 157 ,25.7,3,0.77,90
41,6.65, 150 ,26.3,3,0.79,90
42,6.92, 145 ,26.9,3,0.81,90
43,7.2, 139 ,27.5,3,0.83,90
44,7.48, 134 ,28.1,3,0.84,90
45,7.76, 129 ,28.7,3,0.86,90
46,8.04, 124 ,29.2,3,0.88,60
47,8.32, 120 ,29.8,3,0.89,60
48,8.61, 116 ,30.4,3,0.91,60
49,8.9, 112 ,31,3,0.93,60
50,9.19, 109 ,31.5,3,0.95,60
51,9.48, 105 ,32.1,3,0.96,60
52,9.77, 102 ,32.6,3,0.98,60
53,10.06, 99 ,33.2,3,1.00,60
54,10.35, 97 ,33.7,3,1.01,60
55,10.64, 94 ,34.3,3,1.03,60
56,10.93, 91 ,34.8,3,1.04,60
57,11.22, 89 ,35.4,3,1.06,60
58,11.51, 87 ,35.9,3,1.08,60
59,11.81, 85 ,36.4,3,1.09,60
60,12.11, 83 ,37,3,1.11,60
61,12.41, 81 ,37.5,3.5,1.31,60
62,12.71, 79 ,38,3.5,1.33,60
63,13.01, 77 ,38.5,3.5,1.35,60
64,13.32, 75 ,39,3.5,1.37,60
65,13.63, 73 ,39.5,3.5,1.38,60
66,13.94, 72 ,40,3.5,1.40,60
67,14.25, 70 ,40.5,3.5,1.42,60
68,14.56, 69 ,41,3.5,1.44,60
69,14.88, 67 ,41.5,3.5,1.45,60
70,15.2, 66 ,42,3.5,1.47,60
71,15.52, 64 ,42.5,4,1.70,60
72,15.84, 63 ,43,4,1.72,60
73,16.16, 62 ,43.5,4,1.74,60
74,16.48, 61 ,43.9,4,1.76,60
75,16.8, 60 ,44.4,4,1.78,60
76,17.13, 58 ,44.9,4,1.80,60
77,17.46, 57 ,45.3,4,1.81,60
78,17.79, 56 ,45.8,4,1.83,60
79,18.12, 55 ,46.3,4,1.85,60
80,18.45, 54 ,46.7,4,1.87,60
81,18.78, 53 ,47.2,4,1.89,60
82,19.11, 52 ,47.6,4,1.90,60
83,19.43, 51 ,48,4,1.92,60
84,19.75, 51 ,48.5,4,1.94,60
85,20.07, 50 ,48.9,4,1.96,60
86,20.39, 49 ,49.3,4,1.97,60
87,20.71, 48 ,49.8,4,1.99,60
88,21.03, 48 ,50.2,4,2.01,60
89,21.35, 47 ,50.6,4,2.02,60
90,21.67, 46 ,51,4,2.04,60
91,21.99, 45 ,51.4,4,2.06,60
92,22.31, 45 ,51.8,4,2.07,60
93,22.62, 44 ,52.2,4,2.09,60
94,22.93, 44 ,52.6,4,2.10,60
95,23.24, 43 ,53,4,2.12,60
96,23.55, 42 ,53.4,4,2.14,60
97,23.87, 42 ,53.8,4,2.15,60
98,24.17, 41 ,54.2,4,2.17,60
99,24.48, 41 ,54.6,4,2.18,60
100,24.79, 40 ,54.9,4,2.20,60
101,25.1, 40 ,55.3,4,2.21,60
102,25.41, 39 ,55.7,4,2.23,60
103,25.72, 39 ,56,4,2.24,60
104,26.03, 38 ,56.4,4,2.26,60
105,26.34, 38 ,56.7,4,2.27,60
106,26.65, 38 ,57.1,4,2.28,60
107,26.96, 37 ,57.4,4,2.30,60
108,27.26, 37 ,57.8,4,2.31,60
109,27.56, 36 ,58.1,4,2.32,60
110,27.86, 36 ,58.5,4,2.34,60
111,28.16, 36 ,58.8,4,2.35,60
112,28.46, 35 ,59.1,4,2.36,60
